dimension,index,indicator,source_desc,statisticcat_desc,short_desc,commodity_desc,note,metric,variable_name,definition,axis_name,units
economics,food business resilience,operations diversification,CENSUS,,"INCOME, FARM-RELATED, AG TOURISM & RECREATIONAL SERVICES - OPERATIONS WITH RECEIPTS","INCOME, FARM-RELATED",new,Operations with agritourism and recreation sales,nOpsAgTourismRecreation,,,count
economics,food business resilience,operations diversification,CENSUS,,derived,"INCOME, FARM-RELATED",new,Income from agritourism and recreation as proportion of total income,incomeAgTourismRecPropTotal,Farm-related income from ag tourism and recreation divided by total farm-related income,,usd
economics,food business resilience,operations diversification,CENSUS,,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",COMMODITY TOTALS,new,"Operations with value-added, retail, direct marketing commodity sales",nOpsValueAddedDirect,,,count
economics,food business resilience,operations diversification,CENSUS,,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",COMMODITY TOTALS,new,"Total sales of value-added, retail, direct marketing commodities",totalSalesValueAddedDirect,,,usd
economics,food business resilience,operations diversification,CENSUS,,derived,COMMODITY TOTALS,new,"Sales from value-added, retail, direct marking commodities as a proportion of total sales",salesValueAddedDirectPropTotal,,,usd
economics,food business resilience,operations diversification,CENSUS,,"COMMODITY TOTALS, INCL VALUE-ADDED, WHOLESALE, DIRECT TO RETAILERS & INSTITUTIONS & FOOD HUBS, LOCAL OR REGIONALLY BRANDED PRODUCTS, HUMAN CONSUMPTION - OPERATIONS WITH SALES",COMMODITY TOTALS,new,"Operations with value-added, wholesale commodity sales",nOpsValueAddedWholesale,,,count
economics,food business resilience,operations diversification,CENSUS,,"COMMODITY TOTALS, INCL VALUE-ADDED, WHOLESALE, DIRECT TO RETAILERS & INSTITUTIONS & FOOD HUBS, LOCAL OR REGIONALLY BRANDED PRODUCTS, HUMAN CONSUMPTION - SALES, MEASURED IN $",COMMODITY TOTALS,new,"Total sales of value-added, wholesale commodities",totalSalesValueAddedWholesale,,,usd
economics,food business resilience,operations diversification,CENSUS,,derived,COMMODITY TOTALS,new,Sales from value-added wholesale as a proportion of total sales,salesValueAddedWholesalePropTotal,,,usd
util_dimension,util_index,util_indicator,CENSUS,,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,new,Number of operations,nOperations,,,count
production,production index tbd,"production inputs (fertilizers, pesticides)",CENSUS,,derived,FERTILIZER TOTALS,new,Fertilizer expenses as a percentage of operation expenses,fertExpensePropTotalExpense,,,usd
environment,"carbon, ghg, nutrients",embodied carbon,CENSUS,,"FUELS, INCL LUBRICANTS - OPERATIONS WITH EXPENSE",FUELS,new,Operations with fuel expenses,nOpsFuelExpenses,,,count
environment,"carbon, ghg, nutrients",embodied carbon,CENSUS,,"FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $",FUELS,new,Total fuel expenses,totalFuelExpenses,,,usd
environment,"carbon, ghg, nutrients",embodied carbon,CENSUS,,derived,FUELS,new,Fuel expenses as a proportion of total expenses,fuelExpensePropTotalExpense,,,usd
economics,food business resilience,use of ag/farm/crop insurance,CENSUS,,"INCOME, FARM-RELATED, CROP & ANIMAL INSURANCE PAYMENTS - OPERATIONS WITH RECEIPTS","INCOME, FARM-RELATED",new,Operations with income from crop and animal insurance payments,nOpsCropAnimalInsuranceIncome,,,count
economics,food business resilience,use of ag/farm/crop insurance,CENSUS,,"INCOME, FARM-RELATED, CROP & ANIMAL INSURANCE PAYMENTS - RECEIPTS, MEASURED IN $","INCOME, FARM-RELATED",new,Total crop and animal insurance payments,totalIncomeCropAnimalInsurance,,,usd
economics,food business resilience,use of ag/farm/crop insurance,CENSUS,,derived,"INCOME, FARM-RELATED",new,Income from crop and animal insurance as a proportion of total income,incomeCropAnimalInsurancePropTotal,,,usd
util_dimension,util_index,util_indicator,CENSUS,,"AG LAND, CROPLAND - ACRES",AG LAND,new,Acres of cropland,croplandAcres,,,acres
util_dimension,util_index,util_indicator,CENSUS,,PRODUCERS - NUMBER OF PRODUCERS,PRODUCERS,new,Number of producers,nProducers,,,count
economics,food business resilience,operations diversification,CENSUS,,"INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","INCOME, FARM-RELATED",new,Total farm-related income,totalFarmIncome,,,usd
economics,food business resilience,operations diversification,CENSUS,,"COMMODITY TOTALS - SALES, MEASURED IN $",COMMODITY TOTALS,new,Total sales from commodities,totalSalesCommodities,,,usd
production,production index tbd,"production inputs (fertilizers, pesticides)",CENSUS,,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",EXPENSE TOTALS,new,Total operating expenses,totalOperatingExpenses,,,usd
production,production index tbd,"production inputs (fertilizers, pesticides)",CENSUS,,"FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - OPERATIONS WITH EXPENSE",FERTILIZER TOTALS,new,Operations with fertilizer expenses,nOpsFertilizerExpenses,,,count
production,production index tbd,"production inputs (fertilizers, pesticides)",CENSUS,,"FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $",FERTILIZER TOTALS,new,"Total expenses on fertilizers, including lime and soil conditioners",expensesFertilizerLimeSoilCond,,,usd
economics,food business resilience,operations diversification,CENSUS,,"INCOME, FARM-RELATED, AG TOURISM & RECREATIONAL SERVICES - RECEIPTS, MEASURED IN $","INCOME, FARM-RELATED",,Total income from agritourism and recreation,totalIncomeAgTourismRecreation,,,usd
economics,food business resilience,income stability,CENSUS,,"LABOR, HIRED - EXPENSE, MEASURED IN $",LABOR,,Labor expenses,expHiredLabor,Total expenses from hired labor,Labor expenses ($),usd
economics,food business resilience,income stability,CENSUS,,"LABOR, HIRED - EXPENSE, MEASURED IN PCT OF OPERATING EXPENSES",LABOR,,Labor expenses as percentage of operating expenses,expHiredLaborPercOpExp,Hired labor expenses as a percentage of total operating expenses,Labor expense (% of total),percentage
economics,food business resilience,income stability,CENSUS,,"LABOR, HIRED - NUMBER OF WORKERS",LABOR,,Number of hired workers,nHiredWorkers,Number of hired workers,Hired Workers (#),count
economics,food business resilience,income stability,CENSUS,,"LABOR, MIGRANT - NUMBER OF WORKERS",LABOR,,Number of migrant workers,nMigrantWorkers,Number of migrant workers,Migrant workers (#),count
economics,food business resilience,income stability,CENSUS,,"LABOR, HIRED - OPERATIONS WITH WORKERS",LABOR,,Number of operations with hired labor,nOpsHiredLabor,Number of operations with any hired labor,Farms with labor (#),count
economics,food business resilience,income stability,CENSUS,,"LABOR, HIRED - OPERATIONS WITH EXPENSE",LABOR,,Number of operations with labor expenses,nOpsHiredLaborExp,Number of operations with any labor expenses,Farms with labor expenses (#),count
economics,food business resilience,income stability,CENSUS,,"LABOR, MIGRANT - OPERATIONS WITH WORKERS",LABOR,,Number of operations with migrant labor,nOpsMigrantWorkers,Number of operations with any migrant labor,Farms with migrant labor (#),count
economics,food business resilience,income stability,CENSUS,,"LABOR, UNPAID - OPERATIONS WITH WORKERS",LABOR,,Number of operations with unpaid labor,nOpsUnpaidWorkers,Number of operations with any unpaid labor,Farms with unpaid labor (#),count
economics,food business resilience,income stability,CENSUS,,"LABOR, HIRED, GE 150 DAYS - OPERATIONS WITH WORKERS",LABOR,,Number of operations with long-term labor,nOpsWorkersGE150,"Number of operations with any long-term labor, greater than or equal to 150 days",Farms with long-term labor (#),count
economics,food business resilience,income stability,CENSUS,,"LABOR, HIRED, LT 150 DAYS - OPERATIONS WITH WORKERS",LABOR,,Number of operations with short-term labor,nOpsWorkersLE150,"Number of operations with any short-term labor, less than or equal to 150 days",Farms with short-term labor (#),count
economics,food business resilience,income stability,CENSUS,,"LABOR, UNPAID - NUMBER OF WORKERS",LABOR,,Number of unpaid workers,nUnpaidWorkers,Number of unpaid workers,Unpaid workers (#),count
economics,food business resilience,income stability,CENSUS,,"LABOR, HIRED, GE 150 DAYS - NUMBER OF WORKERS",LABOR,,Number of long-term workers,nWorkersGE150,"Number of long-term workers, greater than or equal to 150 days",Long-term workers (#),count
economics,food business resilience,income stability,CENSUS,,"LABOR, HIRED, LT 150 DAYS - NUMBER OF WORKERS",LABOR,,Number of short-term workers,nWorkersLE150,"Number of short-term workers, less than equal to 150 days",Short-term workers (#),count
economics,food business resilience,income stability,CENSUS,,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",EXPENSE TOTALS,,Expenses per operation,expPF,"Expense totals, oeprating - expense, measured in $ / operation",Expenses per operation ($),usd
economics,food business resilience,income stability,CENSUS,,"INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","INCOME, FARM-RELATED",,Mean farm related income per operation,farmIncomePF,"Income, farm-related - receipts, measured in $ / operation",Income per farm ($),usd
economics,access to capital/credit,access to land,CENSUS,,FARM OPERATIONS - ACRES OPERATED,FARM OPERATIONS,,Total acres operated,acresOperated,Total acres operated on farm operations,Acres operated,acres
economics,access to capital/credit,access to land,CENSUS,,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",FARM OPERATIONS,,Mean acres per farm,acresPF,Mean acres operated per farm,Mean acres per farm,acres
economics,access to capital/credit,access to land,CENSUS,,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",FARM OPERATIONS,,Median acres per farm,medianAcresPF,Median acres operated per farm,Median acres per farm,acres
economics,access to capital/credit,access to land,CENSUS,,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,,Land and building value per farm,landValPF,"Value of agricultural land, including buildings, per operation",Land Value Per Farm ($),usd
economics,access to capital/credit,access to land,CENSUS,,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",AG LAND,,Land and building value per acre,landValPerAcre,"Value of agricultural land, including buildings, per acre",Land Value Per Acre ($),usd
production,production margins,production inputs,CENSUS,,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",CHEMICAL TOTALS,,Chemical expenses,expChemical,"Total chemical expenses, measured in dollars",Chem expenses per farm ($),usd
production,production margins,production inputs,CENSUS,,CHEMICAL TOTALS - OPERATIONS WITH EXPENSE,CHEMICAL TOTALS,,Number of operations with chemical expenses,nOpsChemical,Number of operations with chemical expenses,n farms with chem expenses,count
production,production margins,production inputs,CENSUS,,"CHEMICAL TOTALS - EXPENSE, MEASURED IN PCT OF OPERATING EXPENSES",CHEMICAL TOTALS,,Mean chemical expenses per operation,expChemicalPct,Total chemical expenses / number of operations with chemical expenses,Chem expenses per farm ($),usd
production,production margins,total quantity food products,CENSUS,,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",ANIMAL TOTALS,,Total animal sales,salesAnimal,Total sales from animals and animal products,Animal sales ($),usd
production,production margins,total quantity food products,CENSUS,,"CROP TOTALS - SALES, MEASURED IN $",CROP TOTALS,,Total crop sales,salesCrop,Total sales from crops,Crop sales ($),usd
production,production margins,total quantity food products,CENSUS,,derived,derived,,Total sales of animal and crop,salesAnimalAndCrop,Sum of sales from animals and crops,Crop sales ($),usd
production,production margins,total quantity forest products,CENSUS,,"INCOME, FARM-RELATED, FOREST PRODUCTS, (EXCL CHRISTMAS TREES & SHORT TERM WOODY CROPS & MAPLE SYRUP) - RECEIPTS, MEASURED IN $","INCOME, FARM-RELATED",,Total forest product income,incForestProducts,"Income from farm-related forest products, exclusing Christmas trees, short term woody crops, and maple syrup",NA,usd
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Corn grain yield,yieldCornGrain,Corn grain yield measured in bu acre,yieldCornGrain,bu/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Corn silage yield,yieldCornSilage,Corn silage yield measured in tons acre,yieldCornSilage,tons/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Cotton yield,yieldCotton,Cotton yield measured in lb acre,yieldCotton,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Cotton upland yield,yieldCottonUpland,Cotton upland yield measured in lb acre,yieldCottonUpland,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Hay excl alfalfa yield,yieldHayExclAlfalfa,Hay excl alfalfa yield measured in tons acre,yieldHayExclAlfalfa,tons/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Hay yield,yieldHay,Hay yield measured in tons acre,yieldHay,tons/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Hemp industrial in the open fiber yield,yieldHempIndustrialInTheOpenFiber,Hemp industrial in the open fiber yield measured in lbs acre,yieldHempIndustrialInTheOpenFiber,lbs/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Hemp industrial in the open floral yield,yieldHempIndustrialInTheOpenFloral,Hemp industrial in the open floral yield measured in lbs acre,yieldHempIndustrialInTheOpenFloral,lbs/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Peanuts yield,yieldPeanuts,Peanuts yield measured in lb acre,yieldPeanuts,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Soybeans yield,yieldSoybeans,Soybeans yield measured in bu acre,yieldSoybeans,bu/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Wheat yield,yieldWheat,Wheat yield measured in bu acre,yieldWheat,bu/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Wheat winter yield,yieldWheatWinter,Wheat winter yield measured in bu acre,yieldWheatWinter,bu/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Barley yield,yieldBarley,Barley yield measured in bu acre,yieldBarley,bu/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Cotton pima yield,yieldCottonPima,Cotton pima yield measured in lb acre,yieldCottonPima,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Hay alfalfa yield,yieldHayAlfalfa,Hay alfalfa yield measured in tons acre,yieldHayAlfalfa,tons/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Wheat spring durum yield,yieldWheatSpringDurum,Wheat spring durum yield measured in bu acre,yieldWheatSpringDurum,bu/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Dates yield,yieldDates,Dates yield measured in tons acre,yieldDates,tons/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Lemons yield,yieldLemons,Lemons yield measured in boxes acre,yieldLemons,boxes/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Pecans yield,yieldPecans,Pecans yield measured in lb acre,yieldPecans,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Broccoli yield,yieldBroccoli,Broccoli yield measured in cwt acre,yieldBroccoli,cwt/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Cabbage yield,yieldCabbage,Cabbage yield measured in cwt acre,yieldCabbage,cwt/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Cauliflower yield,yieldCauliflower,Cauliflower yield measured in cwt acre,yieldCauliflower,cwt/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Lettuce head yield,yieldLettuceHead,Lettuce head yield measured in cwt acre,yieldLettuceHead,cwt/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Lettuce leaf yield,yieldLettuceLeaf,Lettuce leaf yield measured in cwt acre,yieldLettuceLeaf,cwt/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Lettuce romaine yield,yieldLettuceRomaine,Lettuce romaine yield measured in cwt acre,yieldLettuceRomaine,cwt/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Melons cantaloup yield,yieldMelonsCantaloup,Melons cantaloup yield measured in cwt acre,yieldMelonsCantaloup,cwt/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Melons watermelon yield,yieldMelonsWatermelon,Melons watermelon yield measured in cwt acre,yieldMelonsWatermelon,cwt/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Spinach yield,yieldSpinach,Spinach yield measured in cwt acre,yieldSpinach,cwt/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Oats yield,yieldOats,Oats yield measured in bu acre,yieldOats,bu/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Rice yield,yieldRice,Rice yield measured in lb acre,yieldRice,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Rice long grain yield,yieldRiceLongGrain,Rice long grain yield measured in lb acre,yieldRiceLongGrain,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Rice medium grain yield,yieldRiceMediumGrain,Rice medium grain yield measured in lb acre,yieldRiceMediumGrain,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Rice short grain yield,yieldRiceShortGrain,Rice short grain yield measured in lb acre,yieldRiceShortGrain,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Beans dry edible excl chickpeas yield,yieldBeansDryEdibleExclChickpeas,Beans dry edible excl chickpeas yield measured in lb acre,yieldBeansDryEdibleExclChickpeas,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Beans dry edible black yield,yieldBeansDryEdibleBlack,Beans dry edible black yield measured in lb acre,yieldBeansDryEdibleBlack,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Beans dry edible blackeye yield,yieldBeansDryEdibleBlackeye,Beans dry edible blackeye yield measured in lb acre,yieldBeansDryEdibleBlackeye,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Beans dry edible cranberry yield,yieldBeansDryEdibleCranberry,Beans dry edible cranberry yield measured in lb acre,yieldBeansDryEdibleCranberry,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Beans dry edible dark red kidney yield,yieldBeansDryEdibleDarkRedKidney,Beans dry edible dark red kidney yield measured in lb acre,yieldBeansDryEdibleDarkRedKidney,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Beans dry edible light red kidney yield,yieldBeansDryEdibleLightRedKidney,Beans dry edible light red kidney yield measured in lb acre,yieldBeansDryEdibleLightRedKidney,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Beans dry edible lima baby yield,yieldBeansDryEdibleLimaBaby,Beans dry edible lima baby yield measured in lb acre,yieldBeansDryEdibleLimaBaby,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Beans dry edible lima large yield,yieldBeansDryEdibleLimaLarge,Beans dry edible lima large yield measured in lb acre,yieldBeansDryEdibleLimaLarge,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Beans dry edible other not listed yield,yieldBeansDryEdibleOtherNotListed,Beans dry edible other not listed yield measured in lb acre,yieldBeansDryEdibleOtherNotListed,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Beans dry edible pinto yield,yieldBeansDryEdiblePinto,Beans dry edible pinto yield measured in lb acre,yieldBeansDryEdiblePinto,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Chickpeas yield,yieldChickpeas,Chickpeas yield measured in lb acre,yieldChickpeas,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Chickpeas large yield,yieldChickpeasLarge,Chickpeas large yield measured in lb acre,yieldChickpeasLarge,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Chickpeas small yield,yieldChickpeasSmall,Chickpeas small yield measured in lb acre,yieldChickpeasSmall,lb/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Hay haylage excl alfalfa yield,yieldHayHaylageExclAlfalfa,Hay haylage excl alfalfa yield measured in tons acre dry basis,yieldHayHaylageExclAlfalfa,"tons/acre,drybasis"
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Hay haylage alfalfa yield,yieldHayHaylageAlfalfa,Hay haylage alfalfa yield measured in tons acre dry basis,yieldHayHaylageAlfalfa,"tons/acre,drybasis"
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Hay haylage yield,yieldHayHaylage,Hay haylage yield measured in tons acre dry basis,yieldHayHaylage,"tons/acre,drybasis"
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Haylage excl alfalfa yield,yieldHaylageExclAlfalfa,Haylage excl alfalfa yield measured in tons acre,yieldHaylageExclAlfalfa,tons/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Haylage alfalfa yield,yieldHaylageAlfalfa,Haylage alfalfa yield measured in tons acre,yieldHaylageAlfalfa,tons/acre
production,production margins,yield,SURVEY,YIELD,,,take all statisticcat_desc yield,Haylage yield,yieldHaylage,Haylage yield measured in tons acre,yieldHaylage,tons/acre
